start_time,route_distance,day_of_week,avg_speed,road_type,travel_time
15:31,38,4,35,rural,69.52
11:37,8,6,43,highway,9.44
15:29,49,5,39,highway,75.37
10:23,8,4,57,rural,9.63
08:38,31,6,54,highway,36.77
16:17,50,2,37,city,145.53
20:45,35,2,45,city,64.45
13:45,49,3,60,rural,57.32
11:07,28,2,41,highway,37.22
12:56,41,4,40,highway,52.03
19:25,34,1,60,rural,37.02
06:51,7,6,41,city,13.13
07:53,18,1,60,highway,17.79
12:17,28,6,60,city,37.81
12:22,48,2,57,highway,47.89
09:36,35,2,35,city,84.06
19:50,47,1,53,city,68.86
07:11,12,2,42,highway,16.82
06:26,31,1,32,rural,66.02
14:58,17,5,56,highway,17.23
16:17,16,4,39,highway,24.99
14:56,10,5,42,city,19.46
06:27,40,6,55,city,58.92
16:28,11,6,35,rural,27.47
13:47,39,3,44,city,68.17
13:42,28,5,58,city,41.91
14:54,9,1,31,highway,15.1
17:59,12,1,57,rural,17.7
08:23,36,5,49,rural,62.28
19:38,18,7,35,highway,30.48
13:29,31,4,53,city,44.23
16:55,5,5,49,rural,8.62
10:31,35,3,48,city,60.32
19:47,24,7,37,city,57.2
07:30,50,1,60,city,72.91
10:28,36,1,42,city,72.56
17:17,49,6,37,rural,117.12
18:43,27,3,56,highway,26.97
09:36,37,5,46,city,61.27
10:07,28,3,55,highway,30.26
16:21,32,2,36,rural,65.16
09:15,18,5,59,rural,20.83
15:27,14,6,51,highway,14.16
06:52,18,3,35,city,42.13
18:03,46,1,35,city,110.43
13:10,26,5,54,rural,31.57
15:50,7,2,31,rural,15.39
13:39,41,1,55,highway,43.77
20:44,7,7,55,rural,7.78
19:10,7,4,35,city,16.48
16:44,38,4,59,highway,40.61
06:23,44,7,38,city,101.71
09:53,43,7,47,city,71.01
09:42,29,1,33,highway,46.13
15:46,47,7,48,rural,66.42
19:04,40,5,50,city,67.93
08:50,33,1,60,highway,35.13
14:01,47,1,37,rural,82.18
11:51,49,5,59,rural,52.15
07:38,48,5,59,rural,49.25
13:29,46,1,39,rural,77.41
12:31,10,4,45,city,17.39
19:26,23,3,48,highway,26.93
07:58,39,6,30,rural,88.06
09:21,23,1,57,city,33.81
17:54,16,5,42,city,34.96
12:39,36,5,38,highway,53.47
09:31,36,7,41,city,69.68
06:16,46,5,50,rural,66.09
07:34,11,7,31,highway,17.93
12:16,39,7,35,city,84.06
06:38,30,7,42,city,54.7
15:34,28,2,54,highway,28.59
09:41,28,7,43,rural,42.53
20:38,13,7,54,rural,16.41
17:35,17,7,54,city,29.28
17:24,28,1,53,highway,36.05
09:48,45,6,33,city,103.99
13:30,16,5,33,highway,28.37
07:29,32,4,51,rural,40.04
08:30,26,6,42,rural,46.34
18:27,5,7,32,rural,11.08
07:54,38,4,48,city,66.36
18:08,26,2,57,city,39.48
14:24,49,6,44,rural,72.94
18:15,46,6,38,highway,62.28
12:30,43,2,50,rural,52.8
13:52,31,5,40,highway,44.72
13:57,48,1,38,highway,69.13
14:01,23,2,30,highway,45.25
15:56,46,5,60,rural,51.5
15:08,11,5,41,city,23.53
11:43,23,6,58,highway,23.0
11:56,16,3,58,rural,17.17
17:47,34,6,42,rural,63.22
06:57,30,7,52,highway,31.72
15:44,5,4,35,rural,9.41
10:56,38,1,43,rural,57.58
19:44,48,2,55,city,76.65
10:49,36,4,60,rural,36.34
16:18,6,1,51,rural,10.36
09:13,38,7,39,city,80.53
07:16,41,3,59,rural,48.8
11:02,46,5,46,city,83.93
09:08,9,1,41,rural,13.36
19:11,23,1,49,rural,31.36
14:48,33,3,44,rural,50.71
09:01,42,5,30,city,117.31
13:46,5,4,31,city,12.46
19:50,39,7,51,highway,42.2
11:09,7,4,51,rural,9.11
14:50,33,7,60,highway,29.54
10:09,5,7,31,rural,10.04
18:53,18,4,36,city,44.07
06:47,6,7,35,rural,11.83
16:36,38,1,36,highway,66.77
09:52,25,6,47,highway,28.31
16:16,33,1,39,rural,74.73
10:44,22,7,37,rural,39.82
13:26,31,1,33,city,81.51
20:07,20,6,44,highway,26.92
20:47,20,3,58,highway,19.9
15:53,43,7,33,highway,69.24
09:05,44,5,54,rural,49.78
17:52,39,4,34,rural,102.39
06:06,39,7,31,city,96.87
10:53,12,7,39,highway,16.74
06:53,42,2,58,rural,45.46
15:00,50,6,51,highway,55.11
07:34,8,4,46,rural,12.18
16:11,29,3,60,highway,33.98
18:38,21,7,38,city,42.65
13:54,8,2,31,highway,14.92
12:40,16,3,41,rural,25.86
12:26,42,3,49,highway,48.2
20:41,22,2,48,highway,26.11
16:37,43,5,45,city,89.24
13:02,25,5,59,highway,24.75
12:01,24,7,51,city,35.33
12:50,28,1,54,highway,30.94
12:33,44,1,38,rural,75.05
14:46,45,4,31,city,124.45
09:59,47,1,42,highway,59.56
10:04,26,4,32,city,70.54
13:50,24,1,51,city,41.47
14:28,15,6,57,highway,13.96
16:59,6,2,39,city,14.53
14:19,11,4,38,highway,17.2
17:04,48,2,59,city,74.89
09:39,29,7,41,rural,47.81
16:43,8,4,48,city,18.31
20:29,16,5,38,highway,21.73
14:51,5,3,40,city,9.64
09:59,20,7,31,rural,42.21
07:49,34,7,31,city,87.72
13:13,10,3,51,rural,13.24
14:07,8,5,53,rural,9.56
10:07,23,4,53,city,35.78
17:31,23,6,44,rural,40.97
11:13,47,4,35,rural,82.74
10:49,47,2,37,rural,79.39
10:39,31,5,34,rural,56.75
16:59,10,4,51,highway,13.82
08:08,5,6,52,city,9.63
12:56,30,6,39,highway,40.78
16:56,15,5,32,rural,41.5
15:20,39,7,41,city,81.32
12:04,10,3,43,rural,14.48
15:54,14,1,49,city,25.53
08:41,10,5,33,rural,26.19
19:27,16,7,32,highway,27.57
12:53,7,4,39,highway,9.77
06:48,14,2,53,highway,13.24
15:04,14,6,34,highway,22.57
15:04,30,2,39,highway,41.17
13:02,50,1,57,city,78.43
09:08,46,7,31,highway,79.28
18:56,29,1,54,highway,30.33
16:37,37,6,58,rural,56.34
09:59,11,1,36,highway,16.15
